,,,,,,,K=1,K=2,K=3,K=4,K=5
2e7eeed6-f016-4c8f-a392-e8e0ffa09c64,3.872991222,11.28411235,24.75428819,21.88384004,3.873362444,,3.872991222,3.872991222,3.872991222,3.872991222,3.872991222
28ba908a-bdbe-4d07-85b0-472208aa198c,23.39847785,10.99056929,22.08267848,9.846564391,25.8669906,,23.39847785,10.99056929,10.99056929,9.846564391,9.846564391
b2eee8c2-68a0-4898-9809-4b6e2c1cd440,33.03153447,5.434120322,27.20260418,6.633445472,38.11989955,,33.03153447,5.434120322,5.434120322,5.434120322,5.434120322
172df1e5-97ce-43e6-954e-3d519746112e,43.80815549,5.392867901,4.19889043,48.99703767,48.99703767,,43.80815549,5.392867901,4.19889043,4.19889043,4.19889043
3d28fcfb-33d3-42cf-9832-f8ee733b7d33,45.18067899,45.18067899,34.08811887,21.87107505,67.32851495,,45.18067899,45.18067899,34.08811887,21.87107505,21.87107505
1325bab4-7248-4fb9-a66b-1544a079d5cc,91.67197949,60.80159437,102.8736871,10.69765934,10.69765934,,91.67197949,60.80159437,60.80159437,10.69765934,10.69765934
f501dea1-08af-4565-823c-55addffc2f4e,7.310899685,18.33714583,18.33714583,18.92490918,22.35483499,,7.310899685,7.310899685,7.310899685,7.310899685,7.310899685
c350d108-9ed1-452d-853d-aeabadca138b,3.89888708,3.89888708,5.404196807,52.49151647,6.315800962,,3.89888708,3.89888708,3.89888708,3.89888708,3.89888708
70775176-fdfd-452a-8593-a65cb5de2bb2,35.16096639,35.16096639,14.17908515,29.95919891,10.58372729,,35.16096639,35.16096639,14.17908515,14.17908515,10.58372729
4d1cab8e-f3b0-444a-a685-add11ec40267,24.97054331,24.97054331,37.68950087,38.93789925,48.1688161,,24.97054331,24.97054331,24.97054331,24.97054331,24.97054331
4d815e44-0888-470e-b23a-5440c7183f7a,10.07415602,29.88934854,68.2743644,3.334217776,3.334217776,,10.07415602,10.07415602,10.07415602,3.334217776,3.334217776
6b1f308d-2837-45b7-bcd0-3e921e1ae6e1,8.596214538,21.91177948,5.089109359,10.57430594,22.50102143,,8.596214538,8.596214538,5.089109359,5.089109359,5.089109359
89db8fdb-e549-41f4-bcfc-7413d0b81349,8.943782092,15.85829558,27.97323237,63.37042311,63.37042311,,8.943782092,8.943782092,8.943782092,8.943782092,8.943782092
88dac0be-bf0e-4932-a521-7da38b233b0c,12.89251974,37.32608287,34.50573727,4.728947053,7.168007021,,12.89251974,12.89251974,12.89251974,4.728947053,4.728947053
3085983f-5162-4ab5-aa9d-4c3d493d254b,32.34000224,58.3962502,58.3962502,27.8355609,36.68059154,,32.34000224,32.34000224,32.34000224,27.8355609,27.8355609
5133015d-a428-4fac-8ac8-153e9094d0c2,82.51652581,14.93794713,14.93794713,40.58398307,29.20702765,,82.51652581,14.93794713,14.93794713,14.93794713,14.93794713
59c22bb8-f2e7-4ce4-bedd-df05b683b168,83.30965076,28.0572075,49.17403729,52.53842363,9.265430161,,83.30965076,28.0572075,28.0572075,28.0572075,9.265430161
68123624-a9b9-4de4-889e-9782edab1f3d,21.53509576,21.53509576,28.0967455,43.57330746,30.30492978,,21.53509576,21.53509576,21.53509576,21.53509576,21.53509576
28c6207d-a1c9-4306-bd8f-ac84549e1c58,1.21070534,32.27822438,28.17200272,2.076783877,28.59827023,,1.21070534,1.21070534,1.21070534,1.21070534,1.21070534
a5e001af-ffc8-417a-a310-d506dae5d4e8,1.068521256,7.200398325,59.22733179,13.26349862,13.26349862,,1.068521256,1.068521256,1.068521256,1.068521256,1.068521256
ee4263ef-324c-4d3f-9096-f1f8dc5c74fd,1.488098376,74.82148147,15.91821062,15.91821062,23.70757416,,1.488098376,1.488098376,1.488098376,1.488098376,1.488098376
c84db741-4332-4636-a42d-7ef93a3d510b,0.748579605,12.63411044,21.0871434,21.0871434,20.02550552,,0.748579605,0.748579605,0.748579605,0.748579605,0.748579605
a036d33e-0b3c-4a0a-ad16-48f5139f8421,0.599102793,4.103655959,4.103655959,12.62904066,4.487480035,,0.599102793,0.599102793,0.599102793,0.599102793,0.599102793
019441cd-3154-461d-b523-b9a04aa5f522,24.66231627,10.71361414,31.85193937,3.385578807,11.98459868,,24.66231627,10.71361414,10.71361414,3.385578807,3.385578807
c1abbaa1-071c-44d1-989c-471d631bada9,99.50304352,50.45001322,10.45298907,87.90797089,60.87766915,,99.50304352,50.45001322,10.45298907,10.45298907,10.45298907
ead7d5f7-2488-496f-b83e-18a561c28a61,29.91494009,50.2752742,2.63385875,44.83824188,4.600556163,,29.91494009,29.91494009,2.63385875,2.63385875,2.63385875
7f0fe132-d622-44ef-b698-4b060f421401,23.15869607,24.78805841,26.06906191,22.60812301,3.744260679,,23.15869607,23.15869607,23.15869607,22.60812301,3.744260679
6d0dc6ba-df02-4444-824e-f6935487bde4,21.50937343,94.50680501,40.93997352,47.20468878,26.39057455,,21.50937343,21.50937343,21.50937343,21.50937343,21.50937343
22f39347-f58d-4a08-987e-0f5bbd7d9c30,33.17394313,91.45104284,10.20113407,97.13321267,31.46930614,,33.17394313,33.17394313,10.20113407,10.20113407,10.20113407
0bf51633-6669-40ae-b0f9-13848d997f87,21.25462615,21.25462615,13.10525155,4.819958955,63.38650661,,21.25462615,21.25462615,13.10525155,4.819958955,4.819958955
076e9015-fd2c-4142-bce4-ef6e3bdca362,41.02776347,47.36699543,21.55510234,94.60955489,20.48797307,,41.02776347,41.02776347,21.55510234,21.55510234,20.48797307
39f33a7e-360c-446c-bfc2-8dc1fc0a8c63,23.09592185,22.57070593,25.74449714,18.8512895,32.69814912,,23.09592185,22.57070593,22.57070593,18.8512895,18.8512895
da59fc5a-dc78-4608-88da-4fbc54174437,23.70767899,74.08605459,18.84807356,77.59307258,15.70907505,,23.70767899,23.70767899,18.84807356,18.84807356,15.70907505
083fbdb6-a3bc-494b-8daf-cbec863291c9,115.4438975,120.582401,46.8031691,84.63300164,59.97130206,,115.4438975,115.4438975,46.8031691,46.8031691,46.8031691
83f6c1d3-a60a-4999-bab6-69060880df13,86.35228156,46.61016812,2.322372161,14.10943206,5.747844744,,86.35228156,46.61016812,2.322372161,2.322372161,2.322372161
f26c2378-0720-4e86-b0af-986bc898be15,61.04452313,105.3779626,56.6298775,14.32356278,14.32356278,,61.04452313,61.04452313,56.6298775,14.32356278,14.32356278
4463fd39-0be9-468a-8743-bc48f694b268,15.39634985,43.92594959,35.70882215,30.03360329,68.06266928,,15.39634985,15.39634985,15.39634985,15.39634985,15.39634985
9511795d-6c6c-46fa-ab41-d495d11981ee,100.7554463,14.75973322,104.6503465,16.59557362,42.43634714,,100.7554463,14.75973322,14.75973322,14.75973322,14.75973322
ed65d2b9-6a61-410e-8464-05bca3e9163d,28.80897281,28.80897281,44.18377228,17.46279489,17.46279489,,28.80897281,28.80897281,28.80897281,17.46279489,17.46279489
fe77b8a7-1ddb-4cbd-8432-f2553c88050e,94.65050566,74.86633523,3.532319735,2.969387869,2.969387869,,94.65050566,74.86633523,3.532319735,2.969387869,2.969387869
ebd6ac5f-794a-441f-9c9c-cf311326f2e9,100.0343123,100.0343123,3.189406512,0.942982988,3.484624983,,100.0343123,100.0343123,3.189406512,0.942982988,0.942982988
dcd165e4-a550-4732-9eaa-4c484a1668ba,1.084866362,96.92996979,91.38121239,1.662180213,3.839044915,,1.084866362,1.084866362,1.084866362,1.084866362,1.084866362
94f9964c-7c57-4b91-bd4e-f83e0b7514f6,3.415224852,20.44571142,70.08310637,62.18750209,62.18750209,,3.415224852,3.415224852,3.415224852,3.415224852,3.415224852
d72bf8d5-49fb-4104-8b54-32ce4fefd8a3,76.7635797,34.11125905,5.727399079,79.64174066,57.03601236,,76.7635797,34.11125905,5.727399079,5.727399079,5.727399079
952e0462-2aad-4d7d-ac68-974746ed50bb,5.332956948,4.639214679,44.00951618,5.427420881,26.07073689,,5.332956948,4.639214679,4.639214679,4.639214679,4.639214679
30417072-8a5c-44f1-8108-b885e55c1158,37.76803849,37.6188521,38.62995637,4.345040882,21.48898587,,37.76803849,37.6188521,37.6188521,4.345040882,4.345040882
d92c5402-4de2-4e8f-b6f1-7d5fd71552ea,6.767460968,29.07810692,16.51087491,74.91249529,34.29710769,,6.767460968,6.767460968,6.767460968,6.767460968,6.767460968
9dfad59d-1625-4e1a-9bba-2c58ccfac43d,3.746317493,8.902655445,24.22000727,29.2751819,7.16774084,,3.746317493,3.746317493,3.746317493,3.746317493,3.746317493
8ea335c3-bef3-4646-b8da-d12c554f8652,47.10705024,2.826003032,53.15538728,73.06316799,8.597603451,,47.10705024,2.826003032,2.826003032,2.826003032,2.826003032
50c3dab6-8bd8-4415-8684-853f4d98d7f5,84.90243829,84.90243829,89.24792485,41.95693325,9.313544778,,84.90243829,84.90243829,84.90243829,41.95693325,9.313544778
f26f2a1c-1066-4f80-ba0a-821c4eb1d2db,105.5729815,61.24963569,56.83395274,14.53964471,14.53964471,,105.5729815,61.24963569,56.83395274,14.53964471,14.53964471
42f271ec-2dcf-42f5-a869-ac59fcb66b69,94.76150605,4.980522422,27.60250526,25.76168771,27.14836145,,94.76150605,4.980522422,4.980522422,4.980522422,4.980522422
43350f55-1c78-46a3-9b82-f76a75a27693,115.4832326,13.6466824,84.6767499,11.36012241,11.19990759,,115.4832326,13.6466824,13.6466824,11.36012241,11.19990759
8710a546-1618-4722-8838-b6ad91bff884,9.674480391,31.38526482,18.9802469,12.37655234,20.79154871,,9.674480391,9.674480391,9.674480391,9.674480391,9.674480391
c160362b-758e-4677-a07d-c0732b649593,94.62173596,91.70267567,11.76701032,2.104464214,65.11517538,,94.62173596,91.70267567,11.76701032,2.104464214,2.104464214
66e9d17e-e0bb-4adc-9dc0-54cc451d5214,27.6446017,103.2054687,32.89909653,32.89909653,25.53744594,,27.6446017,27.6446017,27.6446017,27.6446017,25.53744594
44be80a8-f3ea-4da1-b958-b5d2145c225b,5.818993362,66.09129807,7.351337915,18.87031334,42.00018787,,5.818993362,5.818993362,5.818993362,5.818993362,5.818993362
41ad6aa7-2ca3-4059-9a8b-b46a23906c5d,123.8092744,108.2613688,108.2613688,113.3541486,106.9925418,,123.8092744,108.2613688,108.2613688,108.2613688,106.9925418
4b417e69-2a02-4d48-9edf-c7e2cdabc950,94.5187953,65.57781396,111.7899357,15.16484576,35.20204732,,94.5187953,65.57781396,65.57781396,15.16484576,15.16484576
4a1d78b5-ca51-4658-8198-84d7e2ba4669,11.41965753,17.70040297,101.607238,15.01324597,15.01324597,,11.41965753,11.41965753,11.41965753,11.41965753,11.41965753
bfa6c48c-e1d8-4ed9-ba01-3f984fb27d8f,58.5052123,18.85333769,26.91653127,43.81156769,74.92649241,,58.5052123,18.85333769,18.85333769,18.85333769,18.85333769
d101be6a-09de-4d05-ad91-ded55a496f5b,7.749177681,1.63849505,18.93537701,4.689027597,1.620319327,,7.749177681,1.63849505,1.63849505,1.63849505,1.620319327
c8d8d8fa-7227-4c83-85a1-cfbdbc08fd75,33.11254484,2.153782198,1.434113768,43.24682115,30.92661133,,33.11254484,2.153782198,1.434113768,1.434113768,1.434113768
cf47a3a6-b71a-415d-a6c4-96b1eddc6f96,3.439937153,11.61830925,111.4108382,100.734038,3.304600731,,3.439937153,3.439937153,3.439937153,3.439937153,3.304600731
23528451-790f-4845-b69c-a8ff485c7949,5.991753467,13.02118374,7.903156935,9.080663379,16.07736893,,5.991753467,5.991753467,5.991753467,5.991753467,5.991753467
2f38bf1f-c786-4add-bf58-35449e84f955,6.500413597,5.57745649,101.1940718,106.0359946,43.59613187,,6.500413597,5.57745649,5.57745649,5.57745649,5.57745649
a62bf665-fd59-4f52-a682-d13b8ae444ec,4.48343003,88.5856034,6.828214226,1.809219677,88.29775984,,4.48343003,4.48343003,4.48343003,1.809219677,1.809219677
eb316ede-a55e-46a0-95b1-3bacb0466c9f,5.304023934,16.09250934,51.92643478,47.203853,20.75806215,,5.304023934,5.304023934,5.304023934,5.304023934,5.304023934
ddbe1055-be68-469c-badb-363ca360cef6,4.756391767,1.050790741,50.41841783,2.392703858,28.61246289,,4.756391767,1.050790741,1.050790741,1.050790741,1.050790741
fea8a829-740e-4a0b-9173-8f342be97b59,3.709952811,0.979060202,0.979060202,33.78227674,75.76126193,,3.709952811,0.979060202,0.979060202,0.979060202,0.979060202
c968bfb4-f9cc-4b4d-a669-51b86462abe8,5.590896876,29.14495821,5.041491242,25.04931734,29.22560675,,5.590896876,5.590896876,5.041491242,5.041491242,5.041491242
3e993c9a-e6af-4c93-8137-8b3d24b39f2a,4.403023939,75.6941459,19.65866475,19.65866475,82.28305733,,4.403023939,4.403023939,4.403023939,4.403023939,4.403023939
0b9eb4f5-20ac-471a-9d51-0db326fbc0d7,3.932784893,5.161629918,7.13815106,32.27642723,32.27642723,,3.932784893,3.932784893,3.932784893,3.932784893,3.932784893
d621bbb5-c98b-49eb-a651-67ae00f1d215,4.063641768,54.01309311,77.43235644,4.894156038,49.55510829,,4.063641768,4.063641768,4.063641768,4.063641768,4.063641768
8d17d7ea-a48d-4dbb-a664-16c89be23c06,4.904252784,0.954691286,84.70485828,57.56798598,26.82069793,,4.904252784,0.954691286,0.954691286,0.954691286,0.954691286
91785c99-f4be-487f-9170-92bd3e9d8b2a,52.65037527,52.65037527,13.61354096,13.61354096,10.00555315,,52.65037527,52.65037527,13.61354096,13.61354096,10.00555315
081dfdf7-1451-4077-a0e2-36d5ad020d94,6.836283203,16.77240399,16.77240399,37.51663926,8.998626983,,6.836283203,6.836283203,6.836283203,6.836283203,6.836283203
f939cd69-85b1-481c-bdb6-3ebe84747de6,34.28238303,34.28238303,45.50029813,6.045920744,6.074801342,,34.28238303,34.28238303,34.28238303,6.045920744,6.045920744
608326c3-06ee-400e-bebd-e571bd0cbc78,65.05807025,5.168836563,3.393385331,5.500054623,5.046862561,,65.05807025,5.168836563,3.393385331,3.393385331,3.393385331
ea4dead3-1def-4abb-817e-db217bb4e2b8,84.69155894,13.40582637,10.07450002,10.07450002,19.57022549,,84.69155894,13.40582637,10.07450002,10.07450002,10.07450002
