,T (s),Latitude,Longitude,acce_1,acce_2,acce_3,gyro_1,gyro_2,gyro_3
0,6520.509,49.226697,-123.001859,-1.307898051,5.18594046,7.155639162,-0.161478826,-0.845942182,-0.222675266
1,6523.504,49.226632,-123.001839,-0.776699589,6.182030533,8.300473857,-0.34325202,0.432715762,0.343060149
2,6534.509,49.226649,-123.001877,1.654946634,4.397176526,7.494704369,0.872929129,-0.244070147,-0.195358815
3,6544.504,49.226612,-123.001855,1.736836534,5.797785034,5.627826212,0.215766019,0.937360927,0.36143426
4,6560.499,49.226551,-123.001657,1.900556733,6.081460849,7.95245511,1.131480164,0.258930871,-0.159687898
5,6608.659,49.226116,-123.001871,-1.665233317,4.157906898,7.276674818,-0.117792185,-0.516181052,-0.534340225
6,6611.404,49.226146,-123.00178,0.616290083,4.410784198,2.995749369,0.319164002,0.555937389,0.809743022
7,6621.439,49.22622,-123.001717,-0.982891793,4.706180411,6.690340219,0.463493475,-0.35509365,-0.440479408
8,6621.984,49.226225,-123.001713,-0.136030009,5.957739077,4.215751212,0.133131758,0.251117615,0.291375
9,6630.904,49.226322,-123.001724,-0.449705626,4.011355669,5.334225045,0.295050239,-0.549721767,-0.494276096
10,6640.619,49.226415,-123.001706,1.431421328,-14.79233454,-3.248658761,-2.530428239,-0.139964435,-1.79297688
11,6665.509,49.226634,-123.001667,-2.560833084,4.461406329,13.45577735,-1.667776991,0.643481674,0.656446591
12,6682.504,49.226703,-123.00143,0.228899422,7.102764352,7.284428529,0.018981722,0.035743228,-0.024762658
13,6685.509,49.226723,-123.001424,-0.746959,6.011227649,6.873918132,0.228051941,-0.381216309,-0.400526419
14,6688.739,49.226733,-123.001401,-0.540831082,5.056201416,5.721703692,0.660375962,1.03650819,0.787548171
15,6721.424,49.226755,-123.001201,2.05252292,-8.956135019,1.029169121,0.804055335,0.345603866,0.431752827
16,6732.744,49.226701,-123.001103,0.416573,-7.468881319,1.666370362,0.528008,-0.479310596,-0.082849942
17,6743.624,49.226728,-123.001039,-4.679953188,-9.724637031,6.893628836,1.924428994,-1.999113962,1.537190371
18,6747.444,49.226733,-123.001078,0.141849234,7.007770316,8.046477516,0.156992272,-0.698920816,-0.389116695
19,6763.004,49.22676,-123.001118,-2.843062114,5.634714801,8.255172714,0.142355876,0.311917531,0.713390616
20,6764.504,49.226767,-123.001136,1.305027828,6.149120415,8.447751593,0.558613187,-1.090853619,-0.807762456
21,6771.504,49.226867,-123.001212,-2.241872869,6.278661692,11.18569358,-0.515699234,-0.588159631,0.377901803
22,6797.184,49.227055,-123.000966,-0.251471128,3.447465549,6.464325802,0.910363323,0.146127676,0.12431416
23,6808.129,49.22717,-123.000934,-1.272104996,4.444593811,7.745693644,0.70878675,-0.889237045,-0.89752292
24,6818.279,49.227265,-123.000837,0.444256684,5.024288827,7.751667489,-0.491838169,0.125043426,-0.537614258
25,6847.164,49.227517,-123.000498,0.37909056,6.009898984,6.084261945,-0.743056203,0.400738512,-0.044791585
26,6850.229,49.227516,-123.000458,0.182067007,6.672482986,7.297862299,-0.006064654,0.070474593,0.015021593
27,6930.184,49.226856,-123.000544,-1.392928241,4.600190074,8.433255777,0.6502045,-0.168778833,-0.986711606
28,6935.509,49.226808,-123.000592,0.195354358,3.866531052,7.344381513,-0.345199247,0.208254144,-0.461650148
29,6938.504,49.226777,-123.000599,-2.170609433,7.001438925,9.970171006,0.79203051,-0.262891863,-0.688230253
30,6991.924,49.226493,-123.000399,0.253131413,-9.854514202,-0.571546413,0.450504858,-0.311950793,-0.094282371
31,6995.684,49.226482,-123.000401,0.656827432,-8.496378617,-3.344218255,0.765563061,0.099694712,0.217205675
32,7000.344,49.226455,-123.000408,2.914004575,-8.555674766,1.53134769,1.043234187,-0.939995582,0.640248883
33,7008.424,49.226469,-123.00034,1.539647001,-10.78645038,-5.475385117,-0.061679592,0.157912063,0.642988168
34,7046.524,49.226541,-123.000161,-0.4242362,5.709444921,4.306298712,0.139381506,0.63487454,0.331660409
35,7070.724,49.226355,-123.000122,-4.176447902,4.095407146,5.388172068,0.119586692,0.718610096,1.310221509
36,7079.069,49.226388,-123.000189,-2.580755961,-8.245325756,-0.627105731,0.713894283,-1.069473721,-0.318368401
37,7086.704,49.226342,-123.000203,-1.345015529,-8.47055526,-2.096971052,1.462610201,0.477192817,-0.050709
38,7087.824,49.226333,-123.000202,0.659189676,-9.956837346,-1.245359253,0.266025062,0.525661222,0.000166596
39,7125.804,49.226421,-123.000074,-0.058191058,6.582054556,5.045707884,-0.037276582,-0.251234057,-0.570485492
40,7128.304,49.226442,-123.000048,0.725315471,5.004377637,4.458792026,1.220109701,0.191380115,0.547431196
41,7133.124,49.226437,-123.000021,0.464587548,6.870401202,6.648677152,0.038974278,0.067460654,-0.088854238
42,7180.969,49.226078,-122.999452,-0.621440371,6.743341206,5.796358536,-0.337627564,0.398423559,-0.059103092
43,7193.049,49.225983,-122.999213,-0.105738268,5.368008749,9.980558251,-0.309300588,0.168852023,-0.098847538
44,7198.724,49.225968,-122.999106,-1.460929376,5.041276628,5.999278519,-0.008289331,-0.147330999,-0.11307373
45,7199.764,49.225966,-122.999089,0.401532274,4.927913521,8.441369046,-0.553736226,0.077698458,-0.690720595
46,7217.384,49.225909,-122.999024,0.813473074,5.553279579,3.928260807,0.076375674,2.295683611,1.468351402
47,7238.024,49.225806,-122.99908,-0.505285383,4.859434221,8.489557392,-0.153851496,-0.213899715,-0.182011716
48,7242.499,49.225752,-122.999139,-7.564382601,-6.629181876,5.384016771,-0.918235514,1.241814129,-0.002130358
49,7243.509,49.225745,-122.999146,-4.541234106,-10.30135588,-3.717342308,-0.82837965,0.766222156,0.151772585
50,7245.384,49.225734,-122.999163,-2.931666638,-11.43330893,-3.529706459,0.89091182,-1.014718011,-1.245994026
51,7248.509,49.225711,-122.99917,0.97355586,-14.14491495,-2.898419595,-0.966221819,0.573152017,0.821696236
52,7253.514,49.225663,-122.99919,-2.795089086,-14.55414962,-1.405741505,-0.498734647,0.608658619,0.480787712
53,7257.514,49.225609,-122.99924,-1.046643353,-10.37841571,-1.695444353,1.473132243,-0.586155631,-0.729499467
54,7265.284,49.225495,-122.999372,-0.505978892,4.73102665,5.632739548,0.245416262,0.379450216,1.140909047
55,7267.499,49.225436,-122.999411,-0.368400973,6.121612236,5.369092919,0.139084952,0.424104529,0.336615719
56,7284.304,49.225202,-122.999484,-7.581510667,-4.322772729,-1.352641946,2.93642799,-0.447762983,-3.46221581
57,7345.884,49.22483,-122.999807,2.309980407,-7.170882648,-2.512147359,0.310649473,-0.1356534,-0.633695904
58,7356.529,49.22484,-122.999693,-6.758314119,-1.650820411,3.681779988,-1.068724677,-1.849261269,3.744200276
59,7385.624,49.224972,-122.999551,7.267395502,-13.51528744,-3.795055002,-2.909763739,0.354874735,-1.33296171
60,7390.024,49.225016,-122.999613,3.773695634,-15.49892742,-1.070461712,-3.310838223,0.230885243,-1.024411166
61,7398.924,49.225113,-122.999648,-2.587245561,-11.44243518,-4.695939002,-2.41206654,0.684651687,1.014352975
62,7402.409,49.22514,-122.999625,0.459743224,6.47649817,9.537551607,0.296291675,0.124783148,0.027385986
63,7417.434,49.225288,-122.999536,1.203632153,6.015770153,7.372028247,-0.190827457,-0.033434239,-0.185863021
64,7420.759,49.225307,-122.99953,-0.570424347,3.833601813,4.639926087,0.980412732,0.158322139,-0.437955911
